dataset,setting,learner,method,T,K,repeat,Delta_K,multiplier,sigma,exploration_parameter,delta,N0_i,cost,cost_definition,T0,H,target_ratio,online_ratio,post_attack_target_ratio,post_attack_H,allocation_json,clean_sum_json,online_counts_json,phase1_counts_json,phase2_counts_json,post_attack_counts_json,C1,C2,budget_log_json,status,infeasible_reason,seed,clean_seed,z_star,mu_minus_K,modifications,magnitude,trajectory_seconds
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95343,injected samples,95393,904607,0.965186,1.0,1.0,904607,"[3827, 3892, 3892, 3892, 3860, 3827, 3860, 3892, 3827, 60574]","[3.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904607]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904607]",0,0,,simulated,,2510320679,2036,0.05711279003049802,0.0,0,0.0,0.026968374993884936
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,3031883363,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95244,injected samples,95294,904706,0.965253,1.0,1.0,904706,"[3895, 3798, 3895, 3895, 3863, 3831, 3863, 3831, 3831, 60542]","[5.0, 2.0, 5.0, 5.0, 4.0, 3.0, 4.0, 3.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904706]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904706]",0,0,,simulated,,1954561270,102036,0.057084622366261245,0.0,0,0.0,0.026840625010663643
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,4089573217,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95245,injected samples,95295,904705,0.965252,1.0,1.0,904705,"[3863, 3863, 3831, 3863, 3863, 3895, 3831, 3863, 3831, 60542]","[4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904705]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904705]",0,0,,simulated,,2610083268,202036,0.057084633560964174,0.0,0,0.0,0.02770679199602455
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,2419383568,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95116,injected samples,95166,904834,0.965339,1.0,1.0,904834,"[3835, 3868, 3803, 3868, 3868, 3868, 3835, 3868, 3803, 60500]","[3.0, 4.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904834]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904834]",0,0,,simulated,,3388860075,302036,0.057047071003136315,0.0,0,0.0,0.02634408400626853
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,3657977731,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,4,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95309,injected samples,95359,904641,0.965209,1.0,1.0,904641,"[3893, 3861, 3893, 3796, 3828, 3893, 3893, 3861, 3828, 60563]","[5.0, 4.0, 5.0, 2.0, 3.0, 5.0, 5.0, 4.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904641]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904641]",0,0,,simulated,,228161165,402036,0.05710339824514135,0.0,0,0.0,0.026486457994906232
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,4,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,2257273521,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95373,injected samples,95423,904577,0.965166,1.0,1.0,904577,"[3858, 3858, 3826, 3891, 3858, 3891, 3891, 3858, 3858, 60584]","[4.0, 4.0, 3.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904577]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904577]",0,0,,simulated,,1012907885,502036,0.05712218206141344,0.0,0,0.0,0.027118958008941263
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,1896165696,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95179,injected samples,95229,904771,0.965297,1.0,1.0,904771,"[3865, 3865, 3898, 3833, 3898, 3865, 3833, 3833, 3768, 60521]","[4.0, 4.0, 5.0, 3.0, 5.0, 4.0, 3.0, 3.0, 1.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904771]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904771]",0,0,,simulated,,1296384622,602036,0.05706584161511266,0.0,0,0.0,0.02646958301193081
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,3006832569,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,7,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95148,injected samples,95198,904802,0.965317,1.0,1.0,904802,"[3899, 3834, 3867, 3867, 3867, 3834, 3834, 3834, 3802, 60510]","[5.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 2.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904802]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904802]",0,0,,simulated,,1705485047,702036,0.05705646049671495,0.0,0,0.0,0.026331334025599062
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,7,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,1637139069,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,8,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95245,injected samples,95295,904705,0.965252,1.0,1.0,904705,"[3863, 3895, 3895, 3831, 3863, 3863, 3831, 3831, 3831, 60542]","[4.0, 5.0, 5.0, 3.0, 4.0, 4.0, 3.0, 3.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904705]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904705]",0,0,,simulated,,2602639652,802036,0.05708462896130018,0.0,0,0.0,0.026773916004458442
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,8,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,120669094,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,9,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95083,injected samples,95133,904867,0.965361,1.0,1.0,904867,"[3837, 3901, 3901, 3837, 3837, 3837, 3837, 3869, 3738, 60489]","[3.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0, 4.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904867]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904867]",0,0,,simulated,,1163441406,902036,0.05703766390388641,0.0,0,0.0,0.027345750015228987
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,9,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,2807715758,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,10,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95213,injected samples,95263,904737,0.965274,1.0,1.0,904737,"[3897, 3864, 3832, 3864, 3832, 3864, 3832, 3864, 3832, 60532]","[5.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904737]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904737]",0,0,,simulated,,1260526958,1002036,0.057075243438625814,0.0,0,0.0,0.027239749993896112
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,10,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,2756026599,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,11,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95279,injected samples,95329,904671,0.965229,1.0,1.0,904671,"[3894, 3862, 3830, 3830, 3830, 3862, 3894, 3862, 3862, 60553]","[5.0, 4.0, 3.0, 3.0, 3.0, 4.0, 5.0, 4.0, 4.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904671]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904671]",0,0,,simulated,,2478859112,1102036,0.05709401944281893,0.0,0,0.0,0.026588082982925698
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,11,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,1525500095,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,12,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,94853,injected samples,94903,905097,0.965517,1.0,1.0,905097,"[3910, 3779, 3812, 3812, 3845, 3812, 3779, 3877, 3812, 60415]","[5.0, 1.0, 2.0, 2.0, 3.0, 2.0, 1.0, 4.0, 2.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 905097]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 905097]",0,0,,simulated,,2446058005,1202036,0.0569719097574231,0.0,0,0.0,0.02694170898757875
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,12,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,165269393,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,13,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95147,injected samples,95197,904803,0.965318,1.0,1.0,904803,"[3834, 3867, 3899, 3834, 3834, 3867, 3834, 3834, 3834, 60510]","[3.0, 4.0, 5.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904803]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904803]",0,0,,simulated,,3236943241,1302036,0.05705646331030806,0.0,0,0.0,0.0268209170026239
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,13,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,3242625583,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,14,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95149,injected samples,95199,904801,0.965316,1.0,1.0,904801,"[3867, 3899, 3834, 3867, 3867, 3802, 3802, 3899, 3802, 60510]","[4.0, 5.0, 3.0, 4.0, 4.0, 2.0, 2.0, 5.0, 2.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904801]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904801]",0,0,,simulated,,1004304019,1402036,0.057056451151603974,0.0,0,0.0,0.02744129198254086
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,14,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,1697064294,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,15,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95214,injected samples,95264,904736,0.965273,1.0,1.0,904736,"[3897, 3832, 3864, 3832, 3864, 3832, 3832, 3897, 3832, 60532]","[5.0, 3.0, 4.0, 3.0, 4.0, 3.0, 3.0, 5.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904736]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904736]",0,0,,simulated,,2485638900,1502036,0.057075239758356835,0.0,0,0.0,0.026386709010694176
MovieLens-25M,ucb-xu-gap-v1,UCB,Xu2021,1000000,10,15,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,0,,scheduled corrupted rounds,0,1000000,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,,,,"{""C1"": null, ""C2"": null, ""K"": 10, ""T"": 1000000, ""feasible"": false, ""learner"": ""UCB"", ""learner_setting"": ""mean + sqrt(log(T)/N)"", ""mu"": 0.0, ""reason"": ""undefined at mu_K=0"", ""source"": ""https://proceedings.neurips.cc/paper_files/paper/2021/file/be315e7f05e9f13629031915fe87ad44-Supplemental.pdf"", ""source_section"": ""A.2"", ""target_feedback"": ""deterministic mu_K"", ""total"": null, ""version"": ""xu2021-original-settings-v1""}",infeasible,undefined at mu_K=0,1405785335,,,,,,
MovieLens-25M,ucb-xu-gap-v1,UCB,Ours,1000000,10,16,0.0,0.0,0.3333333333333333,0.3333333333333333,0.05,5,95344,injected samples,95394,904606,0.965185,1.0,1.0,904606,"[3892, 3892, 3860, 3827, 3860, 3860, 3860, 3892, 3827, 60574]","[5.0, 5.0, 4.0, 3.0, 4.0, 4.0, 4.0, 5.0, 3.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904606]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 904606]",0,0,,simulated,,2408147246,1602036,0.057112794440046716,0.0,0,0.0,0.026726250012870878
