algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
TS direct,0,6.0,0.508939980252151,0.08482333004202518,ok,3377
Xu2021 observation-free UCB,0,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,0,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,1,0.0,0.0,0.08482333004202518,ok,41904
UCB direct,1,0.0,0.0,0.08482333004202518,ok,36878
TS appendix,1,0.0,0.0,0.08482333004202518,ok,64821
TS direct,1,0.0,0.0,0.08482333004202518,ok,53611
Xu2021 observation-free UCB,1,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,1,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,1,0.1,0.008482333004202518,0.08482333004202518,ok,39990
UCB direct,1,0.1,0.008482333004202518,0.08482333004202518,ok,35483
TS appendix,1,0.1,0.008482333004202518,0.08482333004202518,ok,62790
TS direct,1,0.1,0.008482333004202518,0.08482333004202518,ok,52359
Xu2021 observation-free UCB,1,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,1,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,1,0.2,0.016964666008405037,0.08482333004202518,ok,38075
UCB direct,1,0.2,0.016964666008405037,0.08482333004202518,ok,34064
TS appendix,1,0.2,0.016964666008405037,0.08482333004202518,ok,60755
TS direct,1,0.2,0.016964666008405037,0.08482333004202518,ok,51086
Xu2021 observation-free UCB,1,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,1,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,1,0.3,0.025446999012607552,0.08482333004202518,ok,36160
UCB direct,1,0.3,0.025446999012607552,0.08482333004202518,ok,32620
TS appendix,1,0.3,0.025446999012607552,0.08482333004202518,ok,58721
TS direct,1,0.3,0.025446999012607552,0.08482333004202518,ok,49790
Xu2021 observation-free UCB,1,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,1,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,1,0.4,0.033929332016810074,0.08482333004202518,ok,34242
UCB direct,1,0.4,0.033929332016810074,0.08482333004202518,ok,31150
TS appendix,1,0.4,0.033929332016810074,0.08482333004202518,ok,56687
TS direct,1,0.4,0.033929332016810074,0.08482333004202518,ok,48471
Xu2021 observation-free UCB,1,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,1,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,1,0.5,0.04241166502101259,0.08482333004202518,ok,32325
UCB direct,1,0.5,0.04241166502101259,0.08482333004202518,ok,29655
TS appendix,1,0.5,0.04241166502101259,0.08482333004202518,ok,54649
TS direct,1,0.5,0.04241166502101259,0.08482333004202518,ok,47129
Xu2021 observation-free UCB,1,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,1,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,1,0.75,0.06361749753151888,0.08482333004202518,ok,27527
UCB direct,1,0.75,0.06361749753151888,0.08482333004202518,ok,25798
TS appendix,1,0.75,0.06361749753151888,0.08482333004202518,ok,49553
TS direct,1,0.75,0.06361749753151888,0.08482333004202518,ok,43669
Xu2021 observation-free UCB,1,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
Xu2021 observation-free TS,1,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
UCB appendix,1,1.0,0.08482333004202518,0.08482333004202518,ok,22725
UCB direct,1,1.0,0.08482333004202518,0.08482333004202518,ok,21763
TS appendix,1,1.0,0.08482333004202518,0.08482333004202518,ok,44448
TS direct,1,1.0,0.08482333004202518,0.08482333004202518,ok,40047
Xu2021 observation-free UCB,1,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
Xu2021 observation-free TS,1,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
UCB appendix,1,1.5,0.12723499506303776,0.08482333004202518,ok,13280
UCB direct,1,1.5,0.12723499506303776,0.08482333004202518,ok,13195
TS appendix,1,1.5,0.12723499506303776,0.08482333004202518,ok,34220
TS direct,1,1.5,0.12723499506303776,0.08482333004202518,ok,32277
Xu2021 observation-free UCB,1,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
Xu2021 observation-free TS,1,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
UCB appendix,1,2.0,0.16964666008405035,0.08482333004202518,ok,7872
UCB direct,1,2.0,0.16964666008405035,0.08482333004202518,ok,7845
TS appendix,1,2.0,0.16964666008405035,0.08482333004202518,ok,23959
TS direct,1,2.0,0.16964666008405035,0.08482333004202518,ok,23712
Xu2021 observation-free UCB,1,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
Xu2021 observation-free TS,1,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
UCB appendix,1,3.0,0.2544699901260755,0.08482333004202518,ok,3721
UCB direct,1,3.0,0.2544699901260755,0.08482333004202518,ok,3709
TS appendix,1,3.0,0.2544699901260755,0.08482333004202518,ok,11344
TS direct,1,3.0,0.2544699901260755,0.08482333004202518,ok,11333
Xu2021 observation-free UCB,1,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
Xu2021 observation-free TS,1,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
UCB appendix,1,4.0,0.3392933201681007,0.08482333004202518,ok,2174
UCB direct,1,4.0,0.3392933201681007,0.08482333004202518,ok,2165
TS appendix,1,4.0,0.3392933201681007,0.08482333004202518,ok,6760
TS direct,1,4.0,0.3392933201681007,0.08482333004202518,ok,6751
Xu2021 observation-free UCB,1,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
Xu2021 observation-free TS,1,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
UCB appendix,1,5.0,0.4241166502101259,0.08482333004202518,ok,1428
UCB direct,1,5.0,0.4241166502101259,0.08482333004202518,ok,1420
TS appendix,1,5.0,0.4241166502101259,0.08482333004202518,ok,4588
TS direct,1,5.0,0.4241166502101259,0.08482333004202518,ok,4578
Xu2021 observation-free UCB,1,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
Xu2021 observation-free TS,1,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
UCB appendix,1,6.0,0.508939980252151,0.08482333004202518,ok,1012
UCB direct,1,6.0,0.508939980252151,0.08482333004202518,ok,1003
TS appendix,1,6.0,0.508939980252151,0.08482333004202518,ok,3392
TS direct,1,6.0,0.508939980252151,0.08482333004202518,ok,3382
Xu2021 observation-free UCB,1,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,1,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,2,0.0,0.0,0.08482333004202518,ok,41902
UCB direct,2,0.0,0.0,0.08482333004202518,ok,36875
TS appendix,2,0.0,0.0,0.08482333004202518,ok,64820
TS direct,2,0.0,0.0,0.08482333004202518,ok,53609
Xu2021 observation-free UCB,2,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,2,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,2,0.1,0.008482333004202518,0.08482333004202518,ok,39987
UCB direct,2,0.1,0.008482333004202518,0.08482333004202518,ok,35480
TS appendix,2,0.1,0.008482333004202518,0.08482333004202518,ok,62788
TS direct,2,0.1,0.008482333004202518,0.08482333004202518,ok,52357
Xu2021 observation-free UCB,2,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,2,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,2,0.2,0.016964666008405037,0.08482333004202518,ok,38072
UCB direct,2,0.2,0.016964666008405037,0.08482333004202518,ok,34061
TS appendix,2,0.2,0.016964666008405037,0.08482333004202518,ok,60752
TS direct,2,0.2,0.016964666008405037,0.08482333004202518,ok,51084
Xu2021 observation-free UCB,2,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,2,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,2,0.3,0.025446999012607552,0.08482333004202518,ok,36157
UCB direct,2,0.3,0.025446999012607552,0.08482333004202518,ok,32617
TS appendix,2,0.3,0.025446999012607552,0.08482333004202518,ok,58719
TS direct,2,0.3,0.025446999012607552,0.08482333004202518,ok,49788
Xu2021 observation-free UCB,2,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,2,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,2,0.4,0.033929332016810074,0.08482333004202518,ok,34239
UCB direct,2,0.4,0.033929332016810074,0.08482333004202518,ok,31148
TS appendix,2,0.4,0.033929332016810074,0.08482333004202518,ok,56684
TS direct,2,0.4,0.033929332016810074,0.08482333004202518,ok,48470
Xu2021 observation-free UCB,2,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,2,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,2,0.5,0.04241166502101259,0.08482333004202518,ok,32322
UCB direct,2,0.5,0.04241166502101259,0.08482333004202518,ok,29652
TS appendix,2,0.5,0.04241166502101259,0.08482333004202518,ok,54645
TS direct,2,0.5,0.04241166502101259,0.08482333004202518,ok,47128
Xu2021 observation-free UCB,2,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,2,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,2,0.75,0.06361749753151888,0.08482333004202518,ok,27523
UCB direct,2,0.75,0.06361749753151888,0.08482333004202518,ok,25796
TS appendix,2,0.75,0.06361749753151888,0.08482333004202518,ok,49549
TS direct,2,0.75,0.06361749753151888,0.08482333004202518,ok,43667
Xu2021 observation-free UCB,2,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
Xu2021 observation-free TS,2,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
UCB appendix,2,1.0,0.08482333004202518,0.08482333004202518,ok,22723
UCB direct,2,1.0,0.08482333004202518,0.08482333004202518,ok,21760
TS appendix,2,1.0,0.08482333004202518,0.08482333004202518,ok,44447
