algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
TS direct,0,6.0,0.508939980252151,0.08482333004202518,ok,3390
Xu2021 observation-free UCB,0,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,0,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,1,0.0,0.0,0.08482333004202518,ok,41894
UCB direct,1,0.0,0.0,0.08482333004202518,ok,36868
TS appendix,1,0.0,0.0,0.08482333004202518,ok,64813
TS direct,1,0.0,0.0,0.08482333004202518,ok,53602
Xu2021 observation-free UCB,1,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,1,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,1,0.1,0.008482333004202518,0.08482333004202518,ok,39980
UCB direct,1,0.1,0.008482333004202518,0.08482333004202518,ok,35473
TS appendix,1,0.1,0.008482333004202518,0.08482333004202518,ok,62778
TS direct,1,0.1,0.008482333004202518,0.08482333004202518,ok,52350
Xu2021 observation-free UCB,1,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,1,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,1,0.2,0.016964666008405037,0.08482333004202518,ok,38062
UCB direct,1,0.2,0.016964666008405037,0.08482333004202518,ok,34053
TS appendix,1,0.2,0.016964666008405037,0.08482333004202518,ok,60747
TS direct,1,0.2,0.016964666008405037,0.08482333004202518,ok,51077
Xu2021 observation-free UCB,1,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,1,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,1,0.3,0.025446999012607552,0.08482333004202518,ok,36148
UCB direct,1,0.3,0.025446999012607552,0.08482333004202518,ok,32609
TS appendix,1,0.3,0.025446999012607552,0.08482333004202518,ok,58713
TS direct,1,0.3,0.025446999012607552,0.08482333004202518,ok,49781
Xu2021 observation-free UCB,1,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
Xu2021 observation-free TS,1,0.3,0.025446999012607552,0.08482333004202518,infeasible,376994.0
UCB appendix,1,0.4,0.033929332016810074,0.08482333004202518,ok,34231
UCB direct,1,0.4,0.033929332016810074,0.08482333004202518,ok,31140
TS appendix,1,0.4,0.033929332016810074,0.08482333004202518,ok,56674
TS direct,1,0.4,0.033929332016810074,0.08482333004202518,ok,48462
Xu2021 observation-free UCB,1,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
Xu2021 observation-free TS,1,0.4,0.033929332016810074,0.08482333004202518,infeasible,212060.0
UCB appendix,1,0.5,0.04241166502101259,0.08482333004202518,ok,32311
UCB direct,1,0.5,0.04241166502101259,0.08482333004202518,ok,29645
TS appendix,1,0.5,0.04241166502101259,0.08482333004202518,ok,54641
TS direct,1,0.5,0.04241166502101259,0.08482333004202518,ok,47120
Xu2021 observation-free UCB,1,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
Xu2021 observation-free TS,1,0.5,0.04241166502101259,0.08482333004202518,ok,135718.0
UCB appendix,1,0.75,0.06361749753151888,0.08482333004202518,ok,27516
UCB direct,1,0.75,0.06361749753151888,0.08482333004202518,ok,25788
TS appendix,1,0.75,0.06361749753151888,0.08482333004202518,ok,49545
TS direct,1,0.75,0.06361749753151888,0.08482333004202518,ok,43659
Xu2021 observation-free UCB,1,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
Xu2021 observation-free TS,1,0.75,0.06361749753151888,0.08482333004202518,ok,60320.0
UCB appendix,1,1.0,0.08482333004202518,0.08482333004202518,ok,22713
UCB direct,1,1.0,0.08482333004202518,0.08482333004202518,ok,21752
TS appendix,1,1.0,0.08482333004202518,0.08482333004202518,ok,44440
TS direct,1,1.0,0.08482333004202518,0.08482333004202518,ok,40038
Xu2021 observation-free UCB,1,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
Xu2021 observation-free TS,1,1.0,0.08482333004202518,0.08482333004202518,ok,33930.0
UCB appendix,1,1.5,0.12723499506303776,0.08482333004202518,ok,13271
UCB direct,1,1.5,0.12723499506303776,0.08482333004202518,ok,13184
TS appendix,1,1.5,0.12723499506303776,0.08482333004202518,ok,34212
TS direct,1,1.5,0.12723499506303776,0.08482333004202518,ok,32267
Xu2021 observation-free UCB,1,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
Xu2021 observation-free TS,1,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
UCB appendix,1,2.0,0.16964666008405035,0.08482333004202518,ok,7865
UCB direct,1,2.0,0.16964666008405035,0.08482333004202518,ok,7835
TS appendix,1,2.0,0.16964666008405035,0.08482333004202518,ok,23950
TS direct,1,2.0,0.16964666008405035,0.08482333004202518,ok,23702
Xu2021 observation-free UCB,1,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
