algorithm,repeat,K,status,T,T0,H,Cost_n,target_cost,non_target_total_cost,non_target_avg_cost,S_T,normalized_cost,z_star,allocation_json,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
UCB appendix,6,5,ok,200000,30680,169320,30655,18807,11848,2962,13464.864334,2.27666608735,0.0859507737504,"{""n_1"": 2957, ""n_2"": 2937, ""n_3"": 2977, ""n_4"": 2977, ""n_5"": 18807}",2957,2937,2977,2977,18807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,6,5,ok,200000,27906,172094,27881,17074,10807,2701.75,13464.864334,2.07064841564,0.102303379727,"{""n_1"": 2697, ""n_2"": 2678, ""n_3"": 2716, ""n_4"": 2716, ""n_5"": 17074}",2697,2678,2716,2716,17074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,6,5,ok,200000,48580,151420,48555,32119,16436,4109,13464.864334,3.6060519286,0.122238095804,"{""n_1"": 4105, ""n_2"": 4089, ""n_3"": 4121, ""n_4"": 4121, ""n_5"": 32119}",4105,4089,4121,4121,32119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,6,5,ok,200000,42017,157983,41992,27649,14343,3585.75,13464.864334,3.11863520926,0.130900000074,"{""n_1"": 3582, ""n_2"": 3567, ""n_3"": 3597, ""n_4"": 3597, ""n_5"": 27649}",3582,3567,3597,3597,27649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,6,10,ok,200000,41913,158087,41863,25664,16199,1799.88888889,16964.6660084,2.46765836588,0.113725591549,"{""n_1"": 1821, ""n_10"": 25664, ""n_2"": 1789, ""n_3"": 1774, ""n_4"": 1805, ""n_5"": 1821, ""n_6"": 1805, ""n_7"": 1805, ""n_8"": 1805, ""n_9"": 1774}",1821,1789,1774,1805,1821,1805,1805,1805,1774,25664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,6,10,ok,200000,36892,163108,36842,22386,14456,1606.22222222,16964.6660084,2.17169026385,0.132848198098,"{""n_1"": 1626, ""n_10"": 22386, ""n_2"": 1596, ""n_3"": 1582, ""n_4"": 1611, ""n_5"": 1626, ""n_6"": 1611, ""n_7"": 1611, ""n_8"": 1611, ""n_9"": 1582}",1626,1596,1582,1611,1626,1611,1611,1611,1582,22386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,6,10,ok,200000,64838,135162,64788,41859,22929,2547.66666667,16964.6660084,3.81899649353,0.157083730679,"{""n_1"": 2564, ""n_10"": 41859, ""n_2"": 2539, ""n_3"": 2527, ""n_4"": 2552, ""n_5"": 2564, ""n_6"": 2552, ""n_7"": 2552, ""n_8"": 2552, ""n_9"": 2527}",2564,2539,2527,2552,2564,2552,2552,2552,2527,41859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,6,10,ok,200000,53634,146366,53584,34366,19218,2135.33333333,16964.6660084,3.15856498286,0.171650000066,"{""n_1"": 2151, ""n_10"": 34366, ""n_2"": 2128, ""n_3"": 2116, ""n_4"": 2139, ""n_5"": 2151, ""n_6"": 2139, ""n_7"": 2139, ""n_8"": 2139, ""n_9"": 2116}",2151,2128,2116,2139,2151,2139,2139,2139,2116,34366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,6,15,ok,200000,49755,150245,49680,30351,19329,1380.64285714,19419.6948,2.55822764012,0.131759110416,"{""n_1"": 1399, ""n_10"": 1358, ""n_11"": 1399, ""n_12"": 1372, ""n_13"": 1331, ""n_14"": 1345, ""n_15"": 30351, ""n_2"": 1399, ""n_3"": 1372, ""n_4"": 1399, ""n_5"": 1399, ""n_6"": 1386, ""n_7"": 1399, ""n_8"": 1372, ""n_9"": 1399}",1399,1399,1372,1399,1399,1386,1399,1372,1399,1358,1399,1372,1331,1345,30351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,6,15,ok,200000,42835,157165,42760,25962,16798,1199.85714286,19419.6948,2.20188836336,0.154012212687,"{""n_1"": 1217, ""n_10"": 1179, ""n_11"": 1217, ""n_12"": 1192, ""n_13"": 1153, ""n_14"": 1166, ""n_15"": 25962, ""n_2"": 1217, ""n_3"": 1192, ""n_4"": 1217, ""n_5"": 1217, ""n_6"": 1205, ""n_7"": 1217, ""n_8"": 1192, ""n_9"": 1217}",1217,1217,1192,1217,1217,1205,1217,1192,1217,1179,1217,1192,1153,1166,25962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,6,15,ok,200000,76363,123637,76288,48583,27705,1978.92857143,19419.6948,3.92838305575,0.179568376551,"{""n_1"": 1994, ""n_10"": 1961, ""n_11"": 1994, ""n_12"": 1972, ""n_13"": 1938, ""n_14"": 1949, ""n_15"": 48583, ""n_2"": 1994, ""n_3"": 1972, ""n_4"": 1994, ""n_5"": 1994, ""n_6"": 1983, ""n_7"": 1994, ""n_8"": 1972, ""n_9"": 1994}",1994,1994,1972,1994,1994,1983,1994,1972,1994,1961,1994,1972,1938,1949,48583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,6,15,ok,200000,61278,138722,61203,38503,22700,1621.42857143,19419.6948,3.15159432887,0.19845000006,"{""n_1"": 1635, ""n_10"": 1605, ""n_11"": 1635, ""n_12"": 1615, ""n_13"": 1585, ""n_14"": 1595, ""n_15"": 38503, ""n_2"": 1635, ""n_3"": 1615, ""n_4"": 1635, ""n_5"": 1635, ""n_6"": 1625, ""n_7"": 1635, ""n_8"": 1615, ""n_9"": 1635}",1635,1635,1615,1635,1635,1625,1635,1615,1635,1605,1635,1615,1585,1595,38503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,6,20,ok,200000,56183,143817,56083,34100,21983,1157,21374.1398084,2.62387167403,0.145663459448,"{""n_1"": 1168, ""n_10"": 1131, ""n_11"": 1168, ""n_12"": 1168, ""n_13"": 1143, ""n_14"": 1143, ""n_15"": 1156, ""n_16"": 1156, ""n_17"": 1156, ""n_18"": 1156, ""n_19"": 1143, ""n_2"": 1168, ""n_20"": 34100, ""n_3"": 1156, ""n_4"": 1168, ""n_5"": 1156, ""n_6"": 1168, ""n_7"": 1143, ""n_8"": 1168, ""n_9"": 1168}",1168,1168,1156,1168,1156,1168,1143,1168,1168,1131,1168,1168,1143,1143,1156,1156,1156,1156,1143,34100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,6,20,ok,200000,47517,152483,47417,28647,18770,987.894736842,21374.1398084,2.21842845724,0.170465871078,"{""n_1"": 998, ""n_10"": 964, ""n_11"": 998, ""n_12"": 998, ""n_13"": 975, ""n_14"": 975, ""n_15"": 987, ""n_16"": 987, ""n_17"": 987, ""n_18"": 987, ""n_19"": 975, ""n_2"": 998, ""n_20"": 28647, ""n_3"": 987, ""n_4"": 998, ""n_5"": 987, ""n_6"": 998, ""n_7"": 975, ""n_8"": 998, ""n_9"": 998}",998,998,987,998,987,998,975,998,998,964,998,998,975,975,987,987,987,987,975,28647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,6,20,ok,200000,85806,114194,85706,53975,31731,1670.05263158,21374.1398084,4.00979879275,0.196745928345,"{""n_1"": 1679, ""n_10"": 1649, ""n_11"": 1679, ""n_12"": 1679, ""n_13"": 1659, ""n_14"": 1659, ""n_15"": 1669, ""n_16"": 1669, ""n_17"": 1669, ""n_18"": 1669, ""n_19"": 1659, ""n_2"": 1679, ""n_20"": 53975, ""n_3"": 1669, ""n_4"": 1679, ""n_5"": 1669, ""n_6"": 1679, ""n_7"": 1659, ""n_8"": 1679, ""n_9"": 1679}",1679,1679,1669,1679,1669,1679,1659,1679,1679,1649,1679,1679,1659,1659,1669,1669,1669,1669,1659,53975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,6,20,ok,200000,67224,132776,67124,41912,25212,1326.94736842,21374.1398084,3.14043047354,0.220900000056,"{""n_1"": 1335, ""n_10"": 1308, ""n_11"": 1335, ""n_12"": 1335, ""n_13"": 1317, ""n_14"": 1317, ""n_15"": 1326, ""n_16"": 1326, ""n_17"": 1326, ""n_18"": 1326, ""n_19"": 1317, ""n_2"": 1335, ""n_20"": 41912, ""n_3"": 1326, ""n_4"": 1335, ""n_5"": 1326, ""n_6"": 1335, ""n_7"": 1317, ""n_8"": 1335, ""n_9"": 1335}",1335,1335,1326,1335,1326,1335,1317,1335,1335,1308,1335,1335,1317,1317,1326,1326,1326,1326,1317,41912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,6,30,ok,200000,66333,133667,66183,39989,26194,903.24137931,24467.282261,2.70495918974,0.166625850204,"{""n_1"": 904, ""n_10"": 893, ""n_11"": 915, ""n_12"": 882, ""n_13"": 915, ""n_14"": 871, ""n_15"": 904, ""n_16"": 893, ""n_17"": 915, ""n_18"": 904, ""n_19"": 904, ""n_2"": 915, ""n_20"": 904, ""n_21"": 915, ""n_22"": 904, ""n_23"": 904, ""n_24"": 893, ""n_25"": 915, ""n_26"": 893, ""n_27"": 915, ""n_28"": 893, ""n_29"": 893, ""n_3"": 893, ""n_30"": 39989, ""n_4"": 904, ""n_5"": 915, ""n_6"": 915, ""n_7"": 915, ""n_8"": 904, ""n_9"": 904}",904,915,893,904,915,915,915,904,904,893,915,882,915,871,904,893,915,904,904,904,915,904,904,893,915,893,915,893,893,39989,,,,,,,,,,,,,,,,,,,,
UCB direct,6,30,ok,200000,54585,145415,54435,32444,21991,758.310344828,24467.282261,2.22480778287,0.194835787913,"{""n_1"": 759, ""n_10"": 749, ""n_11"": 769, ""n_12"": 739, ""n_13"": 769, ""n_14"": 729, ""n_15"": 759, ""n_16"": 749, ""n_17"": 769, ""n_18"": 759, ""n_19"": 759, ""n_2"": 769, ""n_20"": 759, ""n_21"": 769, ""n_22"": 759, ""n_23"": 759, ""n_24"": 749, ""n_25"": 769, ""n_26"": 749, ""n_27"": 769, ""n_28"": 749, ""n_29"": 749, ""n_3"": 749, ""n_30"": 32444, ""n_4"": 759, ""n_5"": 769, ""n_6"": 769, ""n_7"": 769, ""n_8"": 759, ""n_9"": 759}",759,769,749,759,769,769,769,759,759,749,769,739,769,729,759,749,769,759,759,759,769,759,759,749,769,749,769,749,749,32444,,,,,,,,,,,,,,,,,,,,
TS appendix,6,30,ok,200000,101069,98931,100919,62541,38378,1323.37931034,24467.282261,4.12465098998,0.22259895796,"{""n_1"": 1324, ""n_10"": 1315, ""n_11"": 1333, ""n_12"": 1306, ""n_13"": 1333, ""n_14"": 1297, ""n_15"": 1324, ""n_16"": 1315, ""n_17"": 1333, ""n_18"": 1324, ""n_19"": 1324, ""n_2"": 1333, ""n_20"": 1324, ""n_21"": 1333, ""n_22"": 1324, ""n_23"": 1324, ""n_24"": 1315, ""n_25"": 1333, ""n_26"": 1315, ""n_27"": 1333, ""n_28"": 1315, ""n_29"": 1315, ""n_3"": 1315, ""n_30"": 62541, ""n_4"": 1324, ""n_5"": 1333, ""n_6"": 1333, ""n_7"": 1333, ""n_8"": 1324, ""n_9"": 1324}",1324,1333,1315,1324,1333,1333,1333,1324,1324,1315,1333,1306,1333,1297,1324,1315,1333,1324,1324,1324,1333,1324,1324,1315,1333,1315,1333,1315,1315,62541,,,,,,,,,,,,,,,,,,,,
TS direct,6,30,ok,200000,76241,123759,76091,46265,29826,1028.48275862,24467.282261,3.10990812908,0.252700000049,"{""n_1"": 1029, ""n_10"": 1021, ""n_11"": 1037, ""n_12"": 1013, ""n_13"": 1037, ""n_14"": 1006, ""n_15"": 1029, ""n_16"": 1021, ""n_17"": 1037, ""n_18"": 1029, ""n_19"": 1029, ""n_2"": 1037, ""n_20"": 1029, ""n_21"": 1037, ""n_22"": 1029, ""n_23"": 1029, ""n_24"": 1021, ""n_25"": 1037, ""n_26"": 1021, ""n_27"": 1037, ""n_28"": 1021, ""n_29"": 1021, ""n_3"": 1021, ""n_30"": 46265, ""n_4"": 1029, ""n_5"": 1037, ""n_6"": 1037, ""n_7"": 1037, ""n_8"": 1029, ""n_9"": 1029}",1029,1037,1021,1029,1037,1037,1037,1029,1029,1021,1037,1013,1037,1006,1029,1021,1037,1029,1029,1029,1037,1029,1029,1021,1037,1021,1037,1021,1021,46265,,,,,,,,,,,,,,,,,,,,
UCB appendix,6,40,ok,200000,74659,125341,74459,44722,29737,762.487179487,26929.728668,2.76493688139,0.182743974109,"{""n_1"": 773, ""n_10"": 773, ""n_11"": 763, ""n_12"": 773, ""n_13"": 773, ""n_14"": 753, ""n_15"": 753, ""n_16"": 773, ""n_17"": 763, ""n_18"": 763, ""n_19"": 763, ""n_2"": 763, ""n_20"": 763, ""n_21"": 753, ""n_22"": 763, ""n_23"": 763, ""n_24"": 753, ""n_25"": 763, ""n_26"": 773, ""n_27"": 773, ""n_28"": 763, ""n_29"": 763, ""n_3"": 763, ""n_30"": 733, ""n_31"": 763, ""n_32"": 763, ""n_33"": 773, ""n_34"": 753, ""n_35"": 733, ""n_36"": 753, ""n_37"": 753, ""n_38"": 743, ""n_39"": 773, ""n_4"": 773, ""n_40"": 44722, ""n_5"": 773, ""n_6"": 773, ""n_7"": 763, ""n_8"": 773, ""n_9"": 763}",773,763,763,773,773,773,763,773,763,773,763,773,773,753,753,773,763,763,763,763,753,763,763,753,763,773,773,763,763,733,763,763,773,753,733,753,753,743,773,44722,,,,,,,,,,
UCB direct,6,40,ok,200000,60108,139892,59908,35590,24318,623.538461538,26929.728668,2.22460466418,0.215315739971,"{""n_1"": 633, ""n_10"": 633, ""n_11"": 624, ""n_12"": 633, ""n_13"": 633, ""n_14"": 615, ""n_15"": 615, ""n_16"": 633, ""n_17"": 624, ""n_18"": 624, ""n_19"": 624, ""n_2"": 624, ""n_20"": 624, ""n_21"": 615, ""n_22"": 624, ""n_23"": 624, ""n_24"": 615, ""n_25"": 624, ""n_26"": 633, ""n_27"": 633, ""n_28"": 624, ""n_29"": 624, ""n_3"": 624, ""n_30"": 597, ""n_31"": 624, ""n_32"": 624, ""n_33"": 633, ""n_34"": 615, ""n_35"": 597, ""n_36"": 615, ""n_37"": 615, ""n_38"": 606, ""n_39"": 633, ""n_4"": 633, ""n_40"": 35590, ""n_5"": 633, ""n_6"": 633, ""n_7"": 624, ""n_8"": 633, ""n_9"": 624}",633,624,624,633,633,633,624,633,624,633,624,633,633,615,615,633,624,624,624,624,615,624,624,615,624,633,633,624,624,597,624,624,633,615,597,615,615,606,633,35590,,,,,,,,,,
TS appendix,6,40,ok,200000,113679,86321,113479,69464,44015,1128.58974359,26929.728668,4.21389318099,0.242304072355,"{""n_1"": 1137, ""n_10"": 1137, ""n_11"": 1129, ""n_12"": 1137, ""n_13"": 1137, ""n_14"": 1121, ""n_15"": 1121, ""n_16"": 1137, ""n_17"": 1129, ""n_18"": 1129, ""n_19"": 1129, ""n_2"": 1129, ""n_20"": 1129, ""n_21"": 1121, ""n_22"": 1129, ""n_23"": 1129, ""n_24"": 1121, ""n_25"": 1129, ""n_26"": 1137, ""n_27"": 1137, ""n_28"": 1129, ""n_29"": 1129, ""n_3"": 1129, ""n_30"": 1105, ""n_31"": 1129, ""n_32"": 1129, ""n_33"": 1137, ""n_34"": 1121, ""n_35"": 1105, ""n_36"": 1121, ""n_37"": 1121, ""n_38"": 1113, ""n_39"": 1137, ""n_4"": 1137, ""n_40"": 69464, ""n_5"": 1137, ""n_6"": 1137, ""n_7"": 1129, ""n_8"": 1137, ""n_9"": 1129}",1137,1129,1129,1137,1137,1137,1129,1137,1129,1137,1129,1137,1137,1121,1121,1137,1129,1129,1129,1129,1121,1129,1129,1121,1129,1137,1137,1129,1129,1105,1129,1129,1137,1121,1105,1121,1121,1113,1137,69464,,,,,,,,,,
TS direct,6,40,ok,200000,83203,116797,83003,49711,33292,853.641025641,26929.728668,3.08220706652,0.278850000044,"{""n_1"": 861, ""n_10"": 861, ""n_11"": 854, ""n_12"": 861, ""n_13"": 861, ""n_14"": 847, ""n_15"": 847, ""n_16"": 861, ""n_17"": 854, ""n_18"": 854, ""n_19"": 854, ""n_2"": 854, ""n_20"": 854, ""n_21"": 847, ""n_22"": 854, ""n_23"": 854, ""n_24"": 847, ""n_25"": 854, ""n_26"": 861, ""n_27"": 861, ""n_28"": 854, ""n_29"": 854, ""n_3"": 854, ""n_30"": 833, ""n_31"": 854, ""n_32"": 854, ""n_33"": 861, ""n_34"": 847, ""n_35"": 833, ""n_36"": 847, ""n_37"": 847, ""n_38"": 840, ""n_39"": 861, ""n_4"": 861, ""n_40"": 49711, ""n_5"": 861, ""n_6"": 861, ""n_7"": 854, ""n_8"": 861, ""n_9"": 854}",861,854,854,861,861,861,854,861,854,861,854,861,861,847,847,861,854,854,854,854,847,854,854,847,854,861,861,854,854,833,854,854,861,847,833,847,847,840,861,49711,,,,,,,,,,
UCB appendix,6,50,ok,200000,81858,118142,81608,48750,32858,670.571428571,29009.1708178,2.81317933948,0.195978774694,"{""n_1"": 680, ""n_10"": 671, ""n_11"": 680, ""n_12"": 662, ""n_13"": 671, ""n_14"": 662, ""n_15"": 662, ""n_16"": 671, ""n_17"": 671, ""n_18"": 671, ""n_19"": 680, ""n_2"": 680, ""n_20"": 671, ""n_21"": 662, ""n_22"": 662, ""n_23"": 680, ""n_24"": 671, ""n_25"": 671, ""n_26"": 662, ""n_27"": 662, ""n_28"": 671, ""n_29"": 671, ""n_3"": 680, ""n_30"": 662, ""n_31"": 671, ""n_32"": 671, ""n_33"": 680, ""n_34"": 680, ""n_35"": 662, ""n_36"": 680, ""n_37"": 671, ""n_38"": 662, ""n_39"": 671, ""n_4"": 680, ""n_40"": 680, ""n_41"": 680, ""n_42"": 652, ""n_43"": 662, ""n_44"": 671, ""n_45"": 671, ""n_46"": 662, ""n_47"": 652, ""n_48"": 662, ""n_49"": 652, ""n_5"": 680, ""n_50"": 48750, ""n_6"": 680, ""n_7"": 680, ""n_8"": 680, ""n_9"": 680}",680,680,680,680,680,680,680,680,680,671,680,662,671,662,662,671,671,671,680,671,662,662,680,671,671,662,662,671,671,662,671,671,680,680,662,680,671,662,671,680,680,652,662,671,671,662,652,662,652,48750
UCB direct,6,50,ok,200000,64701,135299,64451,37974,26477,540.346938776,29009.1708178,2.2217456819,0.23173770453,"{""n_1"": 549, ""n_10"": 541, ""n_11"": 549, ""n_12"": 532, ""n_13"": 541, ""n_14"": 532, ""n_15"": 532, ""n_16"": 541, ""n_17"": 541, ""n_18"": 541, ""n_19"": 549, ""n_2"": 549, ""n_20"": 541, ""n_21"": 532, ""n_22"": 532, ""n_23"": 549, ""n_24"": 541, ""n_25"": 541, ""n_26"": 532, ""n_27"": 532, ""n_28"": 541, ""n_29"": 541, ""n_3"": 549, ""n_30"": 532, ""n_31"": 541, ""n_32"": 541, ""n_33"": 549, ""n_34"": 549, ""n_35"": 532, ""n_36"": 549, ""n_37"": 541, ""n_38"": 532, ""n_39"": 541, ""n_4"": 549, ""n_40"": 549, ""n_41"": 549, ""n_42"": 524, ""n_43"": 532, ""n_44"": 541, ""n_45"": 541, ""n_46"": 532, ""n_47"": 524, ""n_48"": 532, ""n_49"": 524, ""n_5"": 549, ""n_50"": 37974, ""n_6"": 549, ""n_7"": 549, ""n_8"": 549, ""n_9"": 549}",549,549,549,549,549,549,549,549,549,541,549,532,541,532,532,541,541,541,549,541,532,532,549,541,541,532,532,541,541,532,541,541,549,549,532,549,541,532,541,549,549,524,532,541,541,532,524,532,524,37974
TS appendix,6,50,ok,200000,124685,75315,124435,75386,49049,1001,29009.1708178,4.28950557676,0.258380241662,"{""n_1"": 1009, ""n_10"": 1001, ""n_11"": 1009, ""n_12"": 994, ""n_13"": 1001, ""n_14"": 994, ""n_15"": 994, ""n_16"": 1001, ""n_17"": 1001, ""n_18"": 1001, ""n_19"": 1009, ""n_2"": 1009, ""n_20"": 1001, ""n_21"": 994, ""n_22"": 994, ""n_23"": 1009, ""n_24"": 1001, ""n_25"": 1001, ""n_26"": 994, ""n_27"": 994, ""n_28"": 1001, ""n_29"": 1001, ""n_3"": 1009, ""n_30"": 994, ""n_31"": 1001, ""n_32"": 1001, ""n_33"": 1009, ""n_34"": 1009, ""n_35"": 994, ""n_36"": 1009, ""n_37"": 1001, ""n_38"": 994, ""n_39"": 1001, ""n_4"": 1009, ""n_40"": 1009, ""n_41"": 1009, ""n_42"": 986, ""n_43"": 994, ""n_44"": 1001, ""n_45"": 1001, ""n_46"": 994, ""n_47"": 986, ""n_48"": 994, ""n_49"": 986, ""n_5"": 1009, ""n_50"": 75386, ""n_6"": 1009, ""n_7"": 1009, ""n_8"": 1009, ""n_9"": 1009}",1009,1009,1009,1009,1009,1009,1009,1009,1009,1001,1009,994,1001,994,994,1001,1001,1001,1009,1001,994,994,1009,1001,1001,994,994,1001,1001,994,1001,1001,1009,1009,994,1009,1001,994,1001,1009,1009,986,994,1001,1001,994,986,994,986,75386
TS direct,6,50,ok,200000,88948,111052,88698,52417,36281,740.428571429,29009.1708178,3.05758480851,0.30070000004,"{""n_1"": 747, ""n_10"": 741, ""n_11"": 747, ""n_12"": 734, ""n_13"": 741, ""n_14"": 734, ""n_15"": 734, ""n_16"": 741, ""n_17"": 741, ""n_18"": 741, ""n_19"": 747, ""n_2"": 747, ""n_20"": 741, ""n_21"": 734, ""n_22"": 734, ""n_23"": 747, ""n_24"": 741, ""n_25"": 741, ""n_26"": 734, ""n_27"": 734, ""n_28"": 741, ""n_29"": 741, ""n_3"": 747, ""n_30"": 734, ""n_31"": 741, ""n_32"": 741, ""n_33"": 747, ""n_34"": 747, ""n_35"": 734, ""n_36"": 747, ""n_37"": 741, ""n_38"": 734, ""n_39"": 741, ""n_4"": 747, ""n_40"": 747, ""n_41"": 747, ""n_42"": 728, ""n_43"": 734, ""n_44"": 741, ""n_45"": 741, ""n_46"": 734, ""n_47"": 728, ""n_48"": 734, ""n_49"": 728, ""n_5"": 747, ""n_50"": 52417, ""n_6"": 747, ""n_7"": 747, ""n_8"": 747, ""n_9"": 747}",747,747,747,747,747,747,747,747,747,741,747,734,741,734,734,741,741,741,747,741,734,734,747,741,741,734,734,741,741,734,741,741,747,747,734,747,741,734,741,747,747,728,734,741,741,734,728,734,728,52417
UCB appendix,7,5,ok,200000,30658,169342,30633,18801,11832,2958,13464.864334,2.27503220531,0.0859240550065,"{""n_1"": 2958, ""n_2"": 2958, ""n_3"": 2958, ""n_4"": 2958, ""n_5"": 18801}",2958,2958,2958,2958,18801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,7,5,ok,200000,27889,172111,27864,17012,10852,2713,13464.864334,2.06938587042,0.101996162371,"{""n_1"": 2713, ""n_2"": 2713, ""n_3"": 2713, ""n_4"": 2713, ""n_5"": 17012}",2713,2713,2713,2713,17012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,7,5,ok,200000,48563,151437,48538,32114,16424,4106,13464.864334,3.60478938339,0.122219363674,"{""n_1"": 4106, ""n_2"": 4106, ""n_3"": 4106, ""n_4"": 4106, ""n_5"": 32114}",4106,4106,4106,4106,32114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,7,5,ok,200000,42004,157996,41979,27619,14360,3590,13464.864334,3.11766973351,0.130750000074,"{""n_1"": 3590, ""n_2"": 3590, ""n_3"": 3590, ""n_4"": 3590, ""n_5"": 27619}",3590,3590,3590,3590,27619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,7,10,ok,200000,41927,158073,41877,25669,16208,1800.88888889,16964.6660084,2.46848361054,0.113744744326,"{""n_1"": 1820, ""n_10"": 25669, ""n_2"": 1804, ""n_3"": 1789, ""n_4"": 1820, ""n_5"": 1820, ""n_6"": 1804, ""n_7"": 1789, ""n_8"": 1773, ""n_9"": 1789}",1820,1804,1789,1820,1820,1804,1789,1773,1789,25669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,7,10,ok,200000,36905,163095,36855,22385,14470,1607.77777778,16964.6660084,2.17245656247,0.132848198098,"{""n_1"": 1626, ""n_10"": 22385, ""n_2"": 1611, ""n_3"": 1596, ""n_4"": 1626, ""n_5"": 1626, ""n_6"": 1611, ""n_7"": 1596, ""n_8"": 1582, ""n_9"": 1596}",1626,1611,1596,1626,1626,1611,1596,1582,1596,22385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,7,10,ok,200000,64849,135151,64799,41862,22937,2548.55555556,16964.6660084,3.81964490005,0.15709678267,"{""n_1"": 2564, ""n_10"": 41862, ""n_2"": 2551, ""n_3"": 2539, ""n_4"": 2564, ""n_5"": 2564, ""n_6"": 2551, ""n_7"": 2539, ""n_8"": 2526, ""n_9"": 2539}",2564,2551,2539,2564,2564,2551,2539,2526,2539,41862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,7,10,ok,200000,53643,146357,53593,34386,19207,2134.11111111,16964.6660084,3.15909549728,0.171750000066,"{""n_1"": 2148, ""n_10"": 34386, ""n_2"": 2137, ""n_3"": 2125, ""n_4"": 2148, ""n_5"": 2148, ""n_6"": 2137, ""n_7"": 2125, ""n_8"": 2114, ""n_9"": 2125}",2148,2137,2125,2148,2148,2137,2125,2114,2125,34386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,7,15,ok,200000,49854,150146,49779,30381,19398,1385.57142857,19419.6948,2.56332555752,0.131870101756,"{""n_1"": 1397, ""n_10"": 1384, ""n_11"": 1384, ""n_12"": 1356, ""n_13"": 1384, ""n_14"": 1397, ""n_15"": 30381, ""n_2"": 1384, ""n_3"": 1397, ""n_4"": 1397, ""n_5"": 1397, ""n_6"": 1384, ""n_7"": 1370, ""n_8"": 1370, ""n_9"": 1397}",1397,1384,1397,1397,1397,1384,1370,1370,1397,1384,1384,1356,1384,1397,30381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,7,15,ok,200000,42912,157088,42837,25966,16871,1205.07142857,19419.6948,2.20585341022,0.154092469181,"{""n_1"": 1216, ""n_10"": 1203, ""n_11"": 1203, ""n_12"": 1178, ""n_13"": 1203, ""n_14"": 1216, ""n_15"": 25966, ""n_2"": 1203, ""n_3"": 1216, ""n_4"": 1216, ""n_5"": 1216, ""n_6"": 1203, ""n_7"": 1191, ""n_8"": 1191, ""n_9"": 1216}",1216,1203,1216,1216,1216,1203,1191,1191,1216,1203,1203,1178,1203,1216,25966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
