algorithm,repeat,K,status,T,T0,H,Cost_n,target_cost,non_target_total_cost,non_target_avg_cost,S_T,normalized_cost,z_star,allocation_json,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
UCB appendix,5,15,ok,200000,49855,150145,49780,30381,19399,1385.64285714,19419.6948,2.56337705163,0.131870117102,"{""n_1"": 1384, ""n_10"": 1397, ""n_11"": 1370, ""n_12"": 1384, ""n_13"": 1370, ""n_14"": 1370, ""n_15"": 30381, ""n_2"": 1397, ""n_3"": 1384, ""n_4"": 1397, ""n_5"": 1397, ""n_6"": 1397, ""n_7"": 1384, ""n_8"": 1384, ""n_9"": 1384}",1384,1397,1384,1397,1397,1397,1384,1384,1384,1397,1370,1384,1370,1370,30381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,5,15,ok,200000,42912,157088,42837,25966,16871,1205.07142857,19419.6948,2.20585341022,0.154092469181,"{""n_1"": 1203, ""n_10"": 1216, ""n_11"": 1191, ""n_12"": 1203, ""n_13"": 1191, ""n_14"": 1191, ""n_15"": 25966, ""n_2"": 1216, ""n_3"": 1203, ""n_4"": 1216, ""n_5"": 1216, ""n_6"": 1216, ""n_7"": 1203, ""n_8"": 1203, ""n_9"": 1203}",1203,1216,1203,1216,1216,1216,1203,1203,1203,1216,1191,1203,1191,1191,25966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,5,15,ok,200000,76437,123563,76362,48606,27756,1982.57142857,19419.6948,3.93219362027,0.179642642761,"{""n_1"": 1981, ""n_10"": 1992, ""n_11"": 1970, ""n_12"": 1981, ""n_13"": 1970, ""n_14"": 1970, ""n_15"": 48606, ""n_2"": 1992, ""n_3"": 1981, ""n_4"": 1992, ""n_5"": 1992, ""n_6"": 1992, ""n_7"": 1981, ""n_8"": 1981, ""n_9"": 1981}",1981,1992,1981,1992,1992,1992,1981,1981,1981,1992,1970,1981,1970,1970,48606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,5,15,ok,200000,61333,138667,61258,38488,22770,1626.42857143,19419.6948,3.1544265052,0.19845000006,"{""n_1"": 1625, ""n_10"": 1635, ""n_11"": 1615, ""n_12"": 1625, ""n_13"": 1615, ""n_14"": 1615, ""n_15"": 38488, ""n_2"": 1635, ""n_3"": 1625, ""n_4"": 1635, ""n_5"": 1635, ""n_6"": 1635, ""n_7"": 1625, ""n_8"": 1625, ""n_9"": 1625}",1625,1635,1625,1635,1635,1635,1625,1625,1625,1635,1615,1625,1615,1615,38488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,5,20,ok,200000,56193,143807,56093,34104,21989,1157.31578947,21374.1398084,2.62433952911,0.145677311848,"{""n_1"": 1155, ""n_10"": 1155, ""n_11"": 1168, ""n_12"": 1168, ""n_13"": 1143, ""n_14"": 1155, ""n_15"": 1155, ""n_16"": 1168, ""n_17"": 1143, ""n_18"": 1143, ""n_19"": 1143, ""n_2"": 1168, ""n_20"": 34104, ""n_3"": 1168, ""n_4"": 1155, ""n_5"": 1143, ""n_6"": 1155, ""n_7"": 1168, ""n_8"": 1168, ""n_9"": 1168}",1155,1168,1168,1155,1143,1155,1168,1168,1168,1155,1168,1168,1143,1155,1155,1168,1143,1143,1143,34104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,5,20,ok,200000,47526,152474,47426,28645,18781,988.473684211,21374.1398084,2.21884952681,0.170465871078,"{""n_1"": 987, ""n_10"": 987, ""n_11"": 998, ""n_12"": 998, ""n_13"": 975, ""n_14"": 987, ""n_15"": 987, ""n_16"": 998, ""n_17"": 975, ""n_18"": 975, ""n_19"": 975, ""n_2"": 998, ""n_20"": 28645, ""n_3"": 998, ""n_4"": 987, ""n_5"": 975, ""n_6"": 987, ""n_7"": 998, ""n_8"": 998, ""n_9"": 998}",987,998,998,987,975,987,998,998,998,987,998,998,975,987,987,998,975,975,975,28645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,5,20,ok,200000,85819,114181,85719,53978,31741,1670.57894737,21374.1398084,4.01040700437,0.196755073,"{""n_1"": 1669, ""n_10"": 1669, ""n_11"": 1679, ""n_12"": 1679, ""n_13"": 1659, ""n_14"": 1669, ""n_15"": 1669, ""n_16"": 1679, ""n_17"": 1659, ""n_18"": 1659, ""n_19"": 1659, ""n_2"": 1679, ""n_20"": 53978, ""n_3"": 1679, ""n_4"": 1669, ""n_5"": 1659, ""n_6"": 1669, ""n_7"": 1679, ""n_8"": 1679, ""n_9"": 1679}",1669,1679,1679,1669,1659,1669,1679,1679,1679,1669,1679,1679,1659,1669,1669,1679,1659,1659,1659,53978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,5,20,ok,200000,67231,132769,67131,41910,25221,1327.42105263,21374.1398084,3.1407579721,0.220900000056,"{""n_1"": 1326, ""n_10"": 1326, ""n_11"": 1335, ""n_12"": 1335, ""n_13"": 1317, ""n_14"": 1326, ""n_15"": 1326, ""n_16"": 1335, ""n_17"": 1317, ""n_18"": 1317, ""n_19"": 1317, ""n_2"": 1335, ""n_20"": 41910, ""n_3"": 1335, ""n_4"": 1326, ""n_5"": 1317, ""n_6"": 1326, ""n_7"": 1335, ""n_8"": 1335, ""n_9"": 1335}",1326,1335,1335,1326,1317,1326,1335,1335,1335,1326,1335,1335,1317,1326,1326,1335,1317,1317,1317,41910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,5,30,ok,200000,66318,133682,66168,39979,26189,903.068965517,24467.282261,2.70434612615,0.166591568462,"{""n_1"": 916, ""n_10"": 905, ""n_11"": 916, ""n_12"": 916, ""n_13"": 905, ""n_14"": 905, ""n_15"": 871, ""n_16"": 905, ""n_17"": 916, ""n_18"": 905, ""n_19"": 894, ""n_2"": 916, ""n_20"": 894, ""n_21"": 916, ""n_22"": 905, ""n_23"": 905, ""n_24"": 905, ""n_25"": 883, ""n_26"": 905, ""n_27"": 883, ""n_28"": 905, ""n_29"": 894, ""n_3"": 916, ""n_30"": 39979, ""n_4"": 905, ""n_5"": 905, ""n_6"": 883, ""n_7"": 905, ""n_8"": 894, ""n_9"": 916}",916,916,916,905,905,883,905,894,916,905,916,916,905,905,871,905,916,905,894,894,916,905,905,905,883,905,883,905,894,39979,,,,,,,,,,,,,,,,,,,,
UCB direct,5,30,ok,200000,54561,145439,54411,32450,21961,757.275862069,24467.282261,2.22382688112,0.194835787913,"{""n_1"": 769, ""n_10"": 759, ""n_11"": 769, ""n_12"": 769, ""n_13"": 759, ""n_14"": 759, ""n_15"": 729, ""n_16"": 759, ""n_17"": 769, ""n_18"": 759, ""n_19"": 749, ""n_2"": 769, ""n_20"": 749, ""n_21"": 769, ""n_22"": 759, ""n_23"": 759, ""n_24"": 759, ""n_25"": 739, ""n_26"": 759, ""n_27"": 739, ""n_28"": 759, ""n_29"": 749, ""n_3"": 769, ""n_30"": 32450, ""n_4"": 759, ""n_5"": 759, ""n_6"": 739, ""n_7"": 759, ""n_8"": 749, ""n_9"": 769}",769,769,769,759,759,739,759,749,769,759,769,769,759,759,729,759,769,759,749,749,769,759,759,759,739,759,739,759,749,32450,,,,,,,,,,,,,,,,,,,,
