algorithm,repeat,K,T,status,cost,native_cost,cost_definition,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost
Xu2021 observation-free TS,0,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
Our offline UCB,1,5,200000,ok,27881.0,27881.0,injected samples,1.0,,172094,0,0.0,27881.0
Our offline TS,1,5,200000,ok,41992.0,41992.0,injected samples,1.0,,157983,0,0.0,41992.0
Jun2018 clipped UCB,1,5,200000,failed,81420,81420,online reward-lowering modification count clipped at r_l,0.50304,,100608,99392,38334648.07139315,38416068.07139308
Zuo2024 clipped TS,1,5,200000,failed,47021,47021,online reward-lowering modification count clipped at r_l,0.712905,,142581,57419,7.998430584497101e+17,7.998430584497563e+17
Xu2021 observation-free UCB,1,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Xu2021 observation-free TS,1,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Our offline UCB,1,10,200000,ok,36893.0,36893.0,injected samples,1.0,,163057,0,0.0,36893.0
Our offline TS,1,10,200000,ok,53622.0,53622.0,injected samples,1.0,,146328,0,0.0,53622.0
Jun2018 clipped UCB,1,10,200000,failed,122308,122308,online reward-lowering modification count clipped at r_l,0.229955,,45991,154009,60002124.454477146,60124432.45447715
Zuo2024 clipped TS,1,10,200000,failed,86582,86582,online reward-lowering modification count clipped at r_l,0.453605,,90721,109279,1.2876627995500096e+18,1.287662799550097e+18
Xu2021 observation-free UCB,1,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Xu2021 observation-free TS,1,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Our offline UCB,1,15,200000,ok,42890.0,42890.0,injected samples,1.0,,157035,0,0.0,42890.0
Our offline TS,1,15,200000,ok,61298.0,61298.0,injected samples,1.0,,138627,0,0.0,61298.0
Jun2018 clipped UCB,1,15,200000,failed,137463,137463,online reward-lowering modification count clipped at r_l,0.14437,,28874,171126,58863954.89020631,59001417.89020661
Zuo2024 clipped TS,1,15,200000,failed,111659,111659,online reward-lowering modification count clipped at r_l,0.307075,,61415,138585,1.3313341989342764e+18,1.3313341989343936e+18
Xu2021 observation-free UCB,1,15,200000,infeasible,,1318256.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1318256.0
Xu2021 observation-free TS,1,15,200000,infeasible,,1318256.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1318256.0
Our offline UCB,1,20,200000,ok,47428.0,47428.0,injected samples,1.0,,152472,0,0.0,47428.0
Our offline TS,1,20,200000,ok,67131.0,67131.0,injected samples,1.0,,132769,0,0.0,67131.0
Jun2018 clipped UCB,1,20,200000,failed,145441,145441,online reward-lowering modification count clipped at r_l,0.10215,,20430,179570,57567400.45290717,57712841.45290707
Zuo2024 clipped TS,1,20,200000,failed,133390,133390,online reward-lowering modification count clipped at r_l,0.176745,,35349,164651,1.3847264749141606e+18,1.384726474914296e+18
Xu2021 observation-free UCB,1,20,200000,infeasible,,1757676.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1757676.0
Xu2021 observation-free TS,1,20,200000,infeasible,,1757676.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1757676.0
Our offline UCB,1,30,200000,ok,54484.0,54484.0,injected samples,1.0,,145366,0,0.0,54484.0
Our offline TS,1,30,200000,ok,76123.0,76123.0,injected samples,1.0,,123727,0,0.0,76123.0
Jun2018 clipped UCB,1,30,200000,failed,149802,149802,online reward-lowering modification count clipped at r_l,0.05725,,11450,188550,52362292.796212055,52512094.7962124
Zuo2024 clipped TS,1,30,200000,failed,142870,142870,online reward-lowering modification count clipped at r_l,0.1007,,20140,179860,1.0826234804272268e+18,1.0826234804273659e+18
Xu2021 observation-free UCB,1,30,200000,infeasible,,2636512.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2636512.0
Xu2021 observation-free TS,1,30,200000,infeasible,,2636512.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2636512.0
Our offline UCB,1,40,200000,ok,59929.0,59929.0,injected samples,1.0,,139871,0,0.0,59929.0
Our offline TS,1,40,200000,ok,83018.0,83018.0,injected samples,1.0,,116782,0,0.0,83018.0
Jun2018 clipped UCB,1,40,200000,failed,151369,151369,online reward-lowering modification count clipped at r_l,0.041465,,8293,191707,50354340.14094529,50505709.1409452
Zuo2024 clipped TS,1,40,200000,failed,148016,148016,online reward-lowering modification count clipped at r_l,0.061295,,12259,187741,8.771739514865993e+17,8.771739514867462e+17
Xu2021 observation-free UCB,1,40,200000,infeasible,,3515350.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3515350.0
Xu2021 observation-free TS,1,40,200000,infeasible,,3515350.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3515350.0
Our offline UCB,1,50,200000,ok,64377.0,64377.0,injected samples,1.0,,135373,0,0.0,64377.0
Our offline TS,1,50,200000,ok,88648.0,88648.0,injected samples,1.0,,111102,0,0.0,88648.0
Jun2018 clipped UCB,1,50,200000,failed,149788,149788,online reward-lowering modification count clipped at r_l,0.03069,,6138,193862,45482784.46786988,45632572.467869684
Zuo2024 clipped TS,1,50,200000,failed,148016,148016,online reward-lowering modification count clipped at r_l,0.0426,,8520,191480,7.263053441951391e+17,7.263053441952841e+17
Xu2021 observation-free UCB,1,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
Xu2021 observation-free TS,1,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
Our offline UCB,2,5,200000,ok,27898.0,27898.0,injected samples,1.0,,172077,0,0.0,27898.0
Our offline TS,2,5,200000,ok,42005.0,42005.0,injected samples,1.0,,157970,0,0.0,42005.0
Jun2018 clipped UCB,2,5,200000,failed,84111,84111,online reward-lowering modification count clipped at r_l,0.4882,,97640,102360,42042237.16511319,42126348.1651131
Zuo2024 clipped TS,2,5,200000,failed,45446,45446,online reward-lowering modification count clipped at r_l,0.723845,,144769,55231,7.400601237415479e+17,7.400601237415937e+17
Xu2021 observation-free UCB,2,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Xu2021 observation-free TS,2,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Our offline UCB,2,10,200000,ok,36842.0,36842.0,injected samples,1.0,,163108,0,0.0,36842.0
Our offline TS,2,10,200000,ok,53584.0,53584.0,injected samples,1.0,,146366,0,0.0,53584.0
Jun2018 clipped UCB,2,10,200000,failed,120254,120254,online reward-lowering modification count clipped at r_l,0.242435,,48487,151513,56986075.21365348,57106329.21365343
Zuo2024 clipped TS,2,10,200000,failed,84005,84005,online reward-lowering modification count clipped at r_l,0.471115,,94223,105777,1.2064456972434908e+18,1.2064456972435717e+18
Xu2021 observation-free UCB,2,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Xu2021 observation-free TS,2,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Our offline UCB,2,15,200000,ok,42772.0,42772.0,injected samples,1.0,,157153,0,0.0,42772.0
Our offline TS,2,15,200000,ok,61211.0,61211.0,injected samples,1.0,,138714,0,0.0,61211.0
Jun2018 clipped UCB,2,15,200000,failed,137900,137900,online reward-lowering modification count clipped at r_l,0.141885,,28377,171623,63484557.51620411,63622457.516204014
Zuo2024 clipped TS,2,15,200000,failed,115374,115374,online reward-lowering modification count clipped at r_l,0.28267,,56534,143466,1.4267718328008522e+18,1.4267718328009615e+18
Xu2021 observation-free UCB,2,15,200000,infeasible,,1318256.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1318256.0
Xu2021 observation-free TS,2,15,200000,infeasible,,1318256.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1318256.0
Our offline UCB,2,20,200000,ok,47380.0,47380.0,injected samples,1.0,,152520,0,0.0,47380.0
Our offline TS,2,20,200000,ok,67097.0,67097.0,injected samples,1.0,,132803,0,0.0,67097.0
Jun2018 clipped UCB,2,20,200000,failed,146372,146372,online reward-lowering modification count clipped at r_l,0.096425,,19285,180715,59480792.74782942,59627164.747829266
Zuo2024 clipped TS,2,20,200000,failed,132716,132716,online reward-lowering modification count clipped at r_l,0.182025,,36405,163595,1.3670037745058724e+18,1.367003774506003e+18
Xu2021 observation-free UCB,2,20,200000,infeasible,,1757676.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1757676.0
Xu2021 observation-free TS,2,20,200000,infeasible,,1757676.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1757676.0
Our offline UCB,2,30,200000,ok,54403.0,54403.0,injected samples,1.0,,145447,0,0.0,54403.0
Our offline TS,2,30,200000,ok,76067.0,76067.0,injected samples,1.0,,123783,0,0.0,76067.0
Jun2018 clipped UCB,2,30,200000,failed,149048,149048,online reward-lowering modification count clipped at r_l,0.059925,,11985,188015,50906928.34013937,51055976.34013918
Zuo2024 clipped TS,2,30,200000,failed,139486,139486,online reward-lowering modification count clipped at r_l,0.121765,,24353,175647,1.0325124730289943e+18,1.0325124730291318e+18
Xu2021 observation-free UCB,2,30,200000,infeasible,,2636512.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2636512.0
Xu2021 observation-free TS,2,30,200000,infeasible,,2636512.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2636512.0
Our offline UCB,2,40,200000,ok,59887.0,59887.0,injected samples,1.0,,139913,0,0.0,59887.0
Our offline TS,2,40,200000,ok,82989.0,82989.0,injected samples,1.0,,116811,0,0.0,82989.0
Jun2018 clipped UCB,2,40,200000,failed,150975,150975,online reward-lowering modification count clipped at r_l,0.043445,,8689,191311,47573446.44818794,47724421.448187575
Zuo2024 clipped TS,2,40,200000,failed,148458,148458,online reward-lowering modification count clipped at r_l,0.05773,,11546,188454,8.838725769114422e+17,8.838725769115899e+17
Xu2021 observation-free UCB,2,40,200000,infeasible,,3515350.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3515350.0
Xu2021 observation-free TS,2,40,200000,infeasible,,3515350.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,3515350.0
Our offline UCB,2,50,200000,ok,64429.0,64429.0,injected samples,1.0,,135321,0,0.0,64429.0
Our offline TS,2,50,200000,ok,88685.0,88685.0,injected samples,1.0,,111065,0,0.0,88685.0
Jun2018 clipped UCB,2,50,200000,failed,150323,150323,online reward-lowering modification count clipped at r_l,0.029605,,5921,194079,46514562.09195534,46664885.09195544
Zuo2024 clipped TS,2,50,200000,failed,147564,147564,online reward-lowering modification count clipped at r_l,0.04683,,9366,190634,7.1986549424218e+17,7.198654942423301e+17
Xu2021 observation-free UCB,2,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
Xu2021 observation-free TS,2,50,200000,infeasible,,4394188.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,4394188.0
Our offline UCB,3,5,200000,ok,27864.0,27864.0,injected samples,1.0,,172111,0,0.0,27864.0
Our offline TS,3,5,200000,ok,41979.0,41979.0,injected samples,1.0,,157996,0,0.0,41979.0
Jun2018 clipped UCB,3,5,200000,failed,84356,84356,online reward-lowering modification count clipped at r_l,0.48568,,97136,102864,41100224.52147015,41184580.521470115
Zuo2024 clipped TS,3,5,200000,failed,44901,44901,online reward-lowering modification count clipped at r_l,0.726245,,145249,54751,7.272653452219948e+17,7.272653452220402e+17
Xu2021 observation-free UCB,3,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Xu2021 observation-free TS,3,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Our offline UCB,3,10,200000,ok,36868.0,36868.0,injected samples,1.0,,163082,0,0.0,36868.0
Our offline TS,3,10,200000,ok,53602.0,53602.0,injected samples,1.0,,146348,0,0.0,53602.0
Jun2018 clipped UCB,3,10,200000,failed,117612,117612,online reward-lowering modification count clipped at r_l,0.25623,,51246,148754,52406747.46683068,52524359.466830604
Zuo2024 clipped TS,3,10,200000,failed,85519,85519,online reward-lowering modification count clipped at r_l,0.46152,,92304,107696,1.250631343256843e+18,1.2506313432569267e+18
Xu2021 observation-free UCB,3,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Xu2021 observation-free TS,3,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Our offline UCB,3,15,200000,ok,42773.0,42773.0,injected samples,1.0,,157152,0,0.0,42773.0
Our offline TS,3,15,200000,ok,61211.0,61211.0,injected samples,1.0,,138714,0,0.0,61211.0
Jun2018 clipped UCB,3,15,200000,failed,137198,137198,online reward-lowering modification count clipped at r_l,0.14831,,29662,170338,58772076.3875868,58909274.387586944
Zuo2024 clipped TS,3,15,200000,failed,115253,115253,online reward-lowering modification count clipped at r_l,0.28254,,56508,143492,1.4272718440521492e+18,1.4272718440522675e+18
Xu2021 observation-free UCB,3,15,200000,infeasible,,1318256.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1318256.0
Xu2021 observation-free TS,3,15,200000,infeasible,,1318256.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1318256.0
Our offline UCB,3,20,200000,ok,47370.0,47370.0,injected samples,1.0,,152530,0,0.0,47370.0
Our offline TS,3,20,200000,ok,67090.0,67090.0,injected samples,1.0,,132810,0,0.0,67090.0
Jun2018 clipped UCB,3,20,200000,failed,145894,145894,online reward-lowering modification count clipped at r_l,0.10082,,20164,179836,57336747.63358836,57482641.633588225
Zuo2024 clipped TS,3,20,200000,failed,130976,130976,online reward-lowering modification count clipped at r_l,0.193095,,38619,161381,1.330269873898543e+18,1.3302698738986757e+18
Xu2021 observation-free UCB,3,20,200000,infeasible,,1757676.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1757676.0
Xu2021 observation-free TS,3,20,200000,infeasible,,1757676.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1757676.0
Our offline UCB,3,30,200000,ok,54444.0,54444.0,injected samples,1.0,,145406,0,0.0,54444.0
Our offline TS,3,30,200000,ok,76095.0,76095.0,injected samples,1.0,,123755,0,0.0,76095.0
Jun2018 clipped UCB,3,30,200000,failed,148876,148876,online reward-lowering modification count clipped at r_l,0.06307,,12614,187386,50033077.03030432,50181953.030304365
Zuo2024 clipped TS,3,30,200000,failed,143769,143769,online reward-lowering modification count clipped at r_l,0.095345,,19069,180931,1.0955383043492175e+18,1.0955383043493638e+18
